Index,Description
Health Index,"Life expectancy at birth expressed as an index using a minimum value of 20 years and observed maximum value over 1980-2010. The index is expressed on a scale of 0 to 1, where greater is better."
Recorded unemployment (%),Recorded official unemployment as a percentage of total labour force
Average annual gross wage (US$),Average gross earnings per worker per year. Excludes non-pay costs such as social security.
Labour force. Tertiary attainment (%),"Percentage of active population with tertiary educational attaintment, defined as the highest completed level of education according to the International Standard Classification of Education (ISCED). The figure shows the distribution of the educational attainment of the labour force."
GDP per capita (US$PPP),GDP per capita (US$PPP)
Corruption Perceptions Index,"The Corruption Perceptions Index (CPI) is based on how corrupt the public sector of a country is perceived to be. It is a composite index, a combination of polls, drawing on corruption-related data collected by a variety of reputable institutions. A country/territory’s score indicates the perceived level of public sector corruption on a scale of 0 - 10, where 0 means that a country is perceived as highly corrupt and 10 means that a country is perceived as very clean. Please note that trend analysis is not strictly possible for years 1995-2011. This is because the CPI was based during this time on rankings of countries/territories calculated using a changing set of source surveys, and the number of sources and countries included varied over time as certain source surveys were added or discontinued. There were also some slight modifications to the methodology. Transparency International updated the methodology for the CPI in 2012, allowing for year-over-year comparisons for all editions published from 2012 onward.

Transparency International grants you a limited license to print and copy this data for personal, informational, or academic purposes, provided that it is attributed to Transparency International and not modified or altered in any way. For all other reproduction requests, including commercial licencing, please contact copyrights@transparency.org."
"Number of jailed population per 100,000 people","Number of jailed population per 100,000 people"
"Homicide per 100,000 people","Number of intentional homicides per 100,000 people"
Human Development Index,"A composite measure of achievements in three basic dimensions of human development: a long and healthy life, access to education and a decent standard of living. For ease of comparability, the UNDP puts the average value of achievements in these three dimensions on a scale of 0 to 1, where greater is better."
Gini index,"Measures the extent to which the distribution of income (or, in some cases, consumption expenditure) among individuals or households within an economy deviates from a perfectly equal distribution. A Gini index of 0 represents perfect equality, while an index of 100 implies perfect inequality."
Citations H index,"The H index looks to measure simultaneously the quality and quantity of scientific output of a country. The index indicates a country's number of articles (h) that have received at least h citations. It quantifies both country scientific productivity and scientific impact. The H index can also be applied to individual scientists and journals. Data for each year refers to accumulated data from 1996, i.e. 2011 data refers to 1996 to 2011."
Overall productivity of labour (GDP at US$PPP per worker),Real Gross Domestic Product (GDP) at purchasing power parity (PPP) in 2005 US$ per person employed
