Country,Index,Year,value
ALGERIA,Health Index,1990,0.72
ALGERIA,Health Index,1991,0.73
ALGERIA,Health Index,1992,0.74
ALGERIA,Health Index,1993,0.75
ALGERIA,Health Index,1994,0.76
ALGERIA,Health Index,1995,0.77
ALGERIA,Health Index,1996,0.76
ALGERIA,Health Index,1997,0.76
ALGERIA,Health Index,1998,0.76
ALGERIA,Health Index,1999,0.76
ALGERIA,Health Index,2000,0.75
ALGERIA,Health Index,2001,0.76
ALGERIA,Health Index,2002,0.76
ALGERIA,Health Index,2003,0.76
ALGERIA,Health Index,2004,0.76
ALGERIA,Health Index,2005,0.77
ALGERIA,Health Index,2006,0.77
ALGERIA,Health Index,2007,0.77
ALGERIA,Health Index,2008,0.77
ALGERIA,Health Index,2009,0.78
ALGERIA,Health Index,2010,0.78
ALGERIA,Health Index,2011,0.78
ALGERIA,Health Index,2012,0.78
ALGERIA,Health Index,2013,0.79
ALGERIA,Health Index,2014,NA
ALGERIA,Recorded unemployment (%),1990,25
ALGERIA,Recorded unemployment (%),1991,25
ALGERIA,Recorded unemployment (%),1992,27
ALGERIA,Recorded unemployment (%),1993,23.2
ALGERIA,Recorded unemployment (%),1994,24.4
ALGERIA,Recorded unemployment (%),1995,28.1
ALGERIA,Recorded unemployment (%),1996,28
ALGERIA,Recorded unemployment (%),1997,28
ALGERIA,Recorded unemployment (%),1998,28
ALGERIA,Recorded unemployment (%),1999,29.3
ALGERIA,Recorded unemployment (%),2000,29.5
ALGERIA,Recorded unemployment (%),2001,27.3
ALGERIA,Recorded unemployment (%),2002,25.7
ALGERIA,Recorded unemployment (%),2003,23.7
ALGERIA,Recorded unemployment (%),2004,17.7
ALGERIA,Recorded unemployment (%),2005,15.3
ALGERIA,Recorded unemployment (%),2006,12.3
ALGERIA,Recorded unemployment (%),2007,13.8
ALGERIA,Recorded unemployment (%),2008,11.3
ALGERIA,Recorded unemployment (%),2009,10.2
ALGERIA,Recorded unemployment (%),2010,10
ALGERIA,Recorded unemployment (%),2011,10
ALGERIA,Recorded unemployment (%),2012,11
ALGERIA,Recorded unemployment (%),2013,9.8
ALGERIA,Recorded unemployment (%),2014,9.7
ALGERIA,Average annual gross wage (US$),1990,NA
ALGERIA,Average annual gross wage (US$),1991,NA
ALGERIA,Average annual gross wage (US$),1992,NA
ALGERIA,Average annual gross wage (US$),1993,NA
ALGERIA,Average annual gross wage (US$),1994,NA
ALGERIA,Average annual gross wage (US$),1995,NA
ALGERIA,Average annual gross wage (US$),1996,NA
ALGERIA,Average annual gross wage (US$),1997,NA
ALGERIA,Average annual gross wage (US$),1998,NA
ALGERIA,Average annual gross wage (US$),1999,NA
ALGERIA,Average annual gross wage (US$),2000,NA
ALGERIA,Average annual gross wage (US$),2001,NA
ALGERIA,Average annual gross wage (US$),2002,NA
ALGERIA,Average annual gross wage (US$),2003,NA
ALGERIA,Average annual gross wage (US$),2004,NA
ALGERIA,Average annual gross wage (US$),2005,NA
ALGERIA,Average annual gross wage (US$),2006,NA
ALGERIA,Average annual gross wage (US$),2007,NA
ALGERIA,Average annual gross wage (US$),2008,NA
ALGERIA,Average annual gross wage (US$),2009,NA
ALGERIA,Average annual gross wage (US$),2010,NA
ALGERIA,Average annual gross wage (US$),2011,NA
ALGERIA,Average annual gross wage (US$),2012,NA
ALGERIA,Average annual gross wage (US$),2013,NA
ALGERIA,Average annual gross wage (US$),2014,NA
ALGERIA,Labour force. Tertiary attainment (%),1990,NA
ALGERIA,Labour force. Tertiary attainment (%),1991,NA
ALGERIA,Labour force. Tertiary attainment (%),1992,NA
ALGERIA,Labour force. Tertiary attainment (%),1993,NA
ALGERIA,Labour force. Tertiary attainment (%),1994,NA
ALGERIA,Labour force. Tertiary attainment (%),1995,NA
ALGERIA,Labour force. Tertiary attainment (%),1996,NA
ALGERIA,Labour force. Tertiary attainment (%),1997,NA
ALGERIA,Labour force. Tertiary attainment (%),1998,NA
ALGERIA,Labour force. Tertiary attainment (%),1999,NA
ALGERIA,Labour force. Tertiary attainment (%),2000,NA
ALGERIA,Labour force. Tertiary attainment (%),2001,NA
ALGERIA,Labour force. Tertiary attainment (%),2002,NA
ALGERIA,Labour force. Tertiary attainment (%),2003,NA
ALGERIA,Labour force. Tertiary attainment (%),2004,10
ALGERIA,Labour force. Tertiary attainment (%),2005,10.74
ALGERIA,Labour force. Tertiary attainment (%),2006,11.49
ALGERIA,Labour force. Tertiary attainment (%),2007,12.23
ALGERIA,Labour force. Tertiary attainment (%),2008,12.97
ALGERIA,Labour force. Tertiary attainment (%),2009,13.71
ALGERIA,Labour force. Tertiary attainment (%),2010,14.46
ALGERIA,Labour force. Tertiary attainment (%),2011,15.2
ALGERIA,Labour force. Tertiary attainment (%),2012,NA
ALGERIA,Labour force. Tertiary attainment (%),2013,NA
ALGERIA,Labour force. Tertiary attainment (%),2014,NA
ALGERIA,GDP per capita (US$PPP),1990,6788.3
ALGERIA,GDP per capita (US$PPP),1991,6917.3
ALGERIA,GDP per capita (US$PPP),1992,7057.5
ALGERIA,GDP per capita (US$PPP),1993,6872.5
ALGERIA,GDP per capita (US$PPP),1994,6660.1
ALGERIA,GDP per capita (US$PPP),1995,6990.3
ALGERIA,GDP per capita (US$PPP),1996,7237.3
ALGERIA,GDP per capita (US$PPP),1997,7335.6
ALGERIA,GDP per capita (US$PPP),1998,7675.6
ALGERIA,GDP per capita (US$PPP),1999,7921.7
ALGERIA,GDP per capita (US$PPP),2000,8159.1
ALGERIA,GDP per capita (US$PPP),2001,8599.4
ALGERIA,GDP per capita (US$PPP),2002,9083.3
